Figure_number,Approx_page,Figure_title,Figure_title_FR,X_Axis,X_Axis_FR,Y_Axis,Y_Axis_FR,Caption,Caption_FR,Legends,Legends_FR,X_Axis_Ticks,Y_Axis_Ticks,Other_Annocation,Notes,File_Name
Figure 1,14,Public Sector Occupations by Quadrant and Employment Size,Professions du secteur public par quadrant et taille de l’emploi,Potential Exposure,Exposition potentielle,Potential Complementarity,Complémentarité potentielle,"Source: Author Calculations, 2021 Canadian Census","Source : Calculs de l’auteur, Recensement canadien de 2021",Employment,Emploi,,,,,
Figure 2,22,Federal Public Service Occupations by Quadrant and Employment Size,Professions de la fonction publique fédérale par quadrant et taille de l’emploi,Potential Exposure,Exposition potentielle,Potential Complementarity,Complémentarité potentielle,"Source: Author Calculations, 2021 Canadian Census","Source : Calculs de l’auteur, Recensement canadien de 2021",Employment,Emploi,,,,,
Figure 3,24,Provincial Public Service Occupations by Quadrant and Employment Size,Professions de la fonction publique provinciale par quadrant et taille de l’emploi,Potential Exposure,Exposition potentielle,Potential Complementarity,Complémentarité potentielle,"Source: Author Calculations, 2021 Canadian Census","Source : Calculs de l’auteur, Recensement canadien de 2021",Employment,Emploi,,,,,
Figure 4,25,Municipal Public Service Occupations by Quadrant and Employment Size,Professions de la fonction publique municipale par quadrant et taille de l’emploi,Potential Exposure,Exposition potentielle,Potential Complementarity,Complémentarité potentielle,"Source: Author Calculations, 2021 Canadian Census","Source : Calculs de l’auteur, Recensement canadien de 2021",Employment,Emploi,,,,,
